Country Name,Country Code,poblacion,clima,vecinos,puerto,vuelo
Azerbaiyán,AZE,10241722,Templado,"Armenia, Georgia, Iran, Rusia, Turquía",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Bahamas,BHS,398165,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Bahrein,BHR,1594654,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Bangladesh,BGD,169828911,Templado,"Myanmar, India",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Barbados,BRB,267800,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Belice,BLZ,417634,Cálido,"Guatemala, México",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Benín,BEN,13224860,Cálido,"Burkina Faso, Níger, Nigeria, Togo",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Bermudas,BMU,64055,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Bielorrusia,BLR,9109280,Frío,"Letonia, Lituania, Polonia, Rusia, Ucrania",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Bolivia,BOL,11365333,Cálido,"Argentina, Brasil, Chile, Paraguay, Perú",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Bosnia y Herzegovina,BIH,3422000,Templado,"Croacia, Montenegro, Serbia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Botswana,BWA,2359609,Cálido,"Namibia, Sudáfrica, Zambia, Zimbabue",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Brasil,BRA,213421037,Cálido,"Argentina, Bolivia, Colombia, Guayana Francesa, Guyana, Paraguay, Perú, Surinam, Uruguay, Venezuela",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Brunei,BRN,455500,Cálido,Malasia,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Bulgaria,BGR,6437360,Templado,"Grecia, Macedonia del Norte, Rumania, Serbia, Turquía",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Burkina Faso,BFA,24070553,Cálido,"Benín, Costa de Marfil, Ghana, Mali, Níger, Togo",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Burundi,BDI,12332788,Cálido,"Congo (Rep. Dem.), Ruanda, Tanzania",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Bután,BTN,784043,Templado,"China, India",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Bélgica,BEL,11825551,Frío,"Francia, Alemania, Luxemburgo, Países Bajos",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Cabo Verde,CPV,491233,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Camboya,KHM,17577760,Cálido,"Laos, Tailandia, Vietnam",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Camerún,CMR,29442327,Cálido,"República Centroafricana, Chad, Congo, Guinea Ecuatorial, Gabón, Nigeria",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Canadá,CAN,41651653,Frío,Estados Unidos,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Caribe Neerlandés,BES,31980,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Catar,QAT,3173024,Templado,Arabia Saudí,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Chad,TCD,19340757,Cálido,"Camerún, República Centroafricana, Libia, Níger, Nigeria, Sudán",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Chequia,CZE,10882341,Templado,"Austria, Alemania, Polonia, República Eslovaca",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Chile,CHL,20206953,Templado,"Argentina, Bolivia, Perú",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
China,CHN,1408280000,Templado,"Afganistán, Bután, Myanmar, Hong Kong, India, Kazajistán, Nepal, Corea del Norte, Kirguizistán, Laos, Macao, Mongolia, Pakistán, Rusia, Tayikistán, Vietnam",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Chipre,CYP,1442614,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Ciudad del Vaticano,VAT,882,Templado,Italia,Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Colombia,COL,53057212,Cálido,"Brasil, Ecuador, Panamá, Perú, Venezuela",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Comoras,COM,919901,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Congo,COG,6142180,Cálido,"Angola, Camerún, República Centroafricana, Congo (Rep. Dem.), Gabón",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Congo (Rep. Dem.),COD,112832000,Cálido,"Angola, Burundi, República Centroafricana, Congo, Ruanda, Sudán del Sur, Tanzania, Uganda, Zambia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Corea del Norte,PRK,25950000,Templado,"China, Corea del Sur, Rusia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Corea del Sur,KOR,51159889,Templado,Corea del Norte,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Costa Rica,CRI,5309625,Cálido,"Nicaragua, Panamá",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Costa de Marfil,CIV,31719275,Cálido,"Burkina Faso, Ghana, Guinea, Liberia, Mali",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Croacia,HRV,3866233,Templado,"Bosnia y Herzegovina, Hungría, Montenegro, Serbia, Eslovenia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Cuba,CUB,9748007,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Curazao,CUW,156115,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Dinamarca,DNK,6011488,Frío,Alemania,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Djibouti,DJI,1066809,Cálido,"Eritrea, Etiopía, Somalia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Dominica,DMA,67408,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Ecuador,ECU,18103660,Cálido,"Colombia, Perú",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Egipto,EGY,107271260,Templado,"Israel, Libia, Palestina, Sudán",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
El Salvador,SLV,6029976,Cálido,"Guatemala, Honduras",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Emiratos Árabes Unidos,ARE,11294243,Templado,"Omán, Arabia Saudí",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Eritrea,ERI,3607000,Cálido,"Djibouti, Etiopía, Sudán",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Eslovenia,SVN,2130638,Templado,"Austria, Croacia, Italia, Hungría",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
España,ESP,49315949,Templado,"Andorra, Francia, Gibraltar, Portugal, Marruecos",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Estados Unidos,USA,340110988,Templado,"Canadá, México",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Estonia,EST,1369995,Frío,"Letonia, Rusia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Etiopía,ETH,111652998,Cálido,"Djibouti, Eritrea, Kenia, Somalia, Sudán del Sur, Sudán",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Filipinas,PHL,114123600,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Finlandia,FIN,5650325,Frío,"Noruega, Suecia, Rusia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Fiyi,FJI,900869,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Francia,FRA,66351959,Templado,"Andorra, Bélgica, Alemania, Italia, Luxemburgo, Mónaco, España, Suiza",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Gabón,GAB,2469296,Cálido,"Camerún, Congo, Guinea Ecuatorial",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Gambia,GMB,2422712,Cálido,Senegal,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Georgia,GEO,4000921,Templado,"Armenia, Azerbaiyán, Rusia, Turquía",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Ghana,GHA,33742380,Cálido,"Burkina Faso, Costa de Marfil, Togo",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Gibraltar,GIB,38000,Templado,España,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Grecia,GRC,10400720,Templado,"Albania, Bulgaria, Turquía, Macedonia del Norte",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Grenada,GRD,109021,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Groenlandia,GRL,56542,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Guadalupe,GLP,378561,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Guam,GUM,153836,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Guatemala,GTM,18079810,Cálido,"Belice, El Salvador, Honduras, México",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Guayana Francesa,GUF,292354,Cálido,"Brasil, Surinam",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Guernsey,GGY,64781,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Guinea,GIN,14363931,Cálido,"Costa de Marfil, Guinea-Bisáu, Liberia, Mali, Senegal, Sierra Leone",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Guinea Ecuatorial,GNQ,1668768,Cálido,"Camerún, Gabón",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Guinea-Bisáu,GNB,1781308,Cálido,"Guinea, Senegal",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Guyana,GUY,772975,Cálido,"Brasil, Surinam, Venezuela",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Haití,HTI,11867032,Cálido,República Dominicana,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Honduras,HND,9892632,Cálido,"Guatemala, El Salvador, Nicaragua",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Hong Kong,HKG,7527500,Cálido,China,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Hungría,HUN,9539502,Templado,"Austria, Croacia, Rumania, Serbia, República Eslovaca, Eslovenia, Ucrania",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
India,IND,1417492000,Cálido,"Bangladesh, Bután, Myanmar, China, Nepal, Pakistán",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Indonesia,IDN,284438782,Cálido,"Timor Oriental, Malasia, Papúa Nueva Guinea",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Irak,IRQ,46118793,Templado,"Iran, Jordania, Kuwait, Arabia Saudí, Siria, Turquía",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Iran,IRN,85961000,Templado,"Afganistán, Armenia, Azerbaiyán, Irak, Pakistán, Turquía, Turkmenistán",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Irlanda,IRL,5458600,Frío,Reino Unido,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Isla Bouvet,BVT,0,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Isla de Man,IMN,84530,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Isla de Navidad,CXR,1692,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Isla de Norfolk,NFK,2188,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islandia,ISL,391810,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Caimán,CYM,84738,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Cocos o Islas Keeling,CCK,593,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Cook,COK,15040,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Faroe,FRO,54885,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Georgias del Sur y Sandwich del Sur,SGS,0,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Heard y McDonald,HMD,0,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Malvinas,FLK,3662,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Marianas del Norte,MNP,47329,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Marshall,MHL,42418,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Pitcairn,PCN,35,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Salomón,SLB,750325,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Svalbard y Jan Mayen,SJM,2530,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Tokelau,TKL,2608,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Turks y Caicos,TCA,50828,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Ultramarinas Menores de Estados Unidos,UMI,0,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Vírgenes de los Estados Unidos,VIR,87146,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Islas Vírgenes del Reino Unido,VGB,39471,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Israel,ISR,10134800,Templado,"Egipto, Jordania, Líbano, Palestina, Siria",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Italia,ITA,58927633,Templado,"Austria, Francia, San Marino, Eslovenia, Suiza, Ciudad del Vaticano",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Jamaica,JAM,2825544,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Japón,JPN,123210000,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Jersey,JEY,103267,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Jordania,JOR,11734000,Templado,"Irak, Israel, Palestina, Arabia Saudí, Siria",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Kazajistán,KAZ,20426568,Templado,"China, Kirguizistán, Rusia, Turkmenistán, Uzbekistán",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Kenia,KEN,53330978,Cálido,"Etiopía, Somalia, Sudán del Sur, Tanzania, Uganda",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Kirguizistán,KGZ,7281800,Templado,"China, Kazajistán, Tayikistán, Uzbekistán",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Kiribati,KIR,120740,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Kosovo,UNK,1585566,Templado,"Albania, Macedonia del Norte, Montenegro, Serbia",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Kuwait,KWT,4881254,Templado,"Irak, Arabia Saudí",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Laos,LAO,7647000,Cálido,"Myanmar, Camboya, China, Tailandia, Vietnam",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Lesotho,LSO,2116427,Templado,Sudáfrica,Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Letonia,LVA,1829000,Frío,"Bielorrusia, Estonia, Lituania, Rusia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Liberia,LBR,5248621,Cálido,"Guinea, Costa de Marfil, Sierra Leone",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Libia,LBY,7459000,Templado,"Argelia, Chad, Egipto, Níger, Sudán, Túnez",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Liechtenstein,LIE,40900,Templado,"Austria, Suiza",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Lituania,LTU,2894886,Frío,"Bielorrusia, Letonia, Polonia, Rusia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Luxemburgo,LUX,681973,Templado,"Bélgica, Francia, Alemania",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Líbano,LBN,5490000,Templado,"Israel, Siria",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Macao,MAC,685900,Cálido,China,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Macedonia del Norte,MKD,1822612,Templado,"Albania, Bulgaria, Grecia, Kosovo, Serbia",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Madagascar,MDG,31727042,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Malasia,MYS,34231700,Cálido,"Brunei, Indonesia, Tailandia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Malawi,MWI,20734262,Cálido,"Mozambique, Tanzania, Zambia",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Maldivas,MDV,515132,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Mali,MLI,22395489,Cálido,"Argelia, Burkina Faso, Guinea, Costa de Marfil, Mauritania, Níger, Senegal",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Malta,MLT,574250,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Marruecos,MAR,36828330,Templado,"Argelia, Sahara Occidental, España",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Martinica,MTQ,349925,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Mauricio,MUS,1243741,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Mauritania,MRT,4927532,Cálido,"Argelia, Mali, Senegal, Sahara Occidental",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Mayotte,MYT,320901,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Micronesia,FSM,105564,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Moldavia,MDA,2749076,Templado,"Rumania, Ucrania",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Mongolia,MNG,3544835,Templado,"China, Rusia",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Montenegro,MNE,623327,Templado,"Albania, Bosnia y Herzegovina, Croacia, Kosovo, Serbia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Montserrat,MSR,4386,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Mozambique,MOZ,34090466,Cálido,"Malawi, Sudáfrica, Suazilandia, Tanzania, Zambia, Zimbabue",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Myanmar,MMR,51316756,Cálido,"Bangladesh, China, India, Laos, Tailandia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
México,MEX,130575786,Cálido,"Belice, Guatemala, Estados Unidos",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Mónaco,MCO,38423,Templado,Francia,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Namibia,NAM,3022401,Cálido,"Angola, Botswana, Sudáfrica, Zambia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Nauru,NRU,11680,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Nepal,NPL,29911840,Templado,"China, India",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Nicaragua,NIC,6803886,Cálido,"Costa Rica, Honduras",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Nigeria,NGA,223800000,Cálido,"Benín, Camerún, Chad, Níger",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Niue,NIU,1681,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Noruega,NOR,5606944,Frío,"Finlandia, Suecia, Rusia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Nueva Caledonia,NCL,264596,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Nueva Zelanda,NZL,5324700,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Níger,NER,26312034,Cálido,"Argelia, Benín, Burkina Faso, Chad, Libia, Mali, Nigeria",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Omán,OMN,5343630,Cálido,"Arabia Saudí, Emiratos Árabes Unidos, Yemen",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Pakistán,PAK,241499431,Templado,"Afganistán, China, India, Iran",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Palau,PLW,16733,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Palestina,PSE,5483450,Templado,"Israel, Egipto, Jordania",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Panamá,PAN,4064780,Cálido,"Colombia, Costa Rica",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Papúa Nueva Guinea,PNG,11781559,Cálido,Indonesia,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Paraguay,PRY,6109644,Cálido,"Argentina, Bolivia, Brasil",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Países Bajos,NLD,18100436,Frío,"Bélgica, Alemania",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Perú,PER,34350244,Cálido,"Bolivia, Brasil, Chile, Colombia, Ecuador",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Polinesia Francesa,PYF,279500,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Polonia,POL,37392000,Frío,"Bielorrusia, Chequia, Alemania, Lituania, Rusia, República Eslovaca, Ucrania",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Portugal,PRT,10749635,Templado,España,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Puerto Rico,PRI,3203295,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Reino Unido,GBR,69281437,Frío,Irlanda,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
República Centroafricana,CAF,6470307,Cálido,"Camerún, Chad, Congo (Rep. Dem.), Congo, Sudán del Sur, Sudán",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
República Dominicana,DOM,10771504,Cálido,Haití,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
República Eslovaca,SVK,5413813,Templado,"Austria, Chequia, Hungría, Polonia, Ucrania",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Reunión,REU,896175,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Ruanda,RWA,14104969,Cálido,"Burundi, Congo (Rep. Dem.), Tanzania, Uganda",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Rumania,ROU,19036031,Templado,"Bulgaria, Hungría, Moldavia, Serbia, Ucrania",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Rusia,RUS,146028325,Frío,"Azerbaiyán, Bielorrusia, China, Estonia, Finlandia, Georgia, Kazajistán, Corea del Norte, Letonia, Lituania, Mongolia, Noruega, Polonia, Ucrania",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Sahara Occidental,ESH,600904,Templado,"Argelia, Mauritania, Marruecos",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Saint Martin,MAF,31496,Cálido,Sint Maarten,Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Samoa,WSM,205557,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Samoa Americana,ASM,49710,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
